"$State []","Freq [GHz]","dB(St(2,1)) []","dB(St(3,1)) []","dB(St(4,1)) []","dB(St(5,1)) []","dB(St(6,1)) []","dB(St(7,1)) []","dB(St(8,1)) []"
1,18.4,-23.1022202736841,-22.9863929012128,-27.0025670226232,-26.5778582752761,-19.2152876535915,-26.3537866146284,-29.1815277059979
1,18.5,-23.0874922004392,-22.9332018949804,-26.9779595703102,-26.5400911392141,-19.1418142776375,-26.283233888791,-29.0273583507215
1,18.6,-23.0725489793993,-22.8814017414178,-26.954618582395,-26.5031803262996,-19.0700016723932,-26.2136091791949,-28.8791617215491
1,18.7,-23.0574213718958,-22.8309534221238,-26.932516033004,-26.4670955803496,-18.9998035820009,-26.144916815685,-28.7366150713442
1,18.8,-23.042137791043,-22.7818191427591,-26.9116240264746,-26.4318080636926,-18.9311754485509,-26.0771591790774,-28.5994201535428
1,18.9,-23.0267244814257,-22.7339622913382,-26.8919148662024,-26.3972902889769,-18.8640743338757,-26.0103369066338,-28.4673009068067
1,19,-23.0112056841572,-22.6873473977591,-26.873361112344,-26.3635160537431,-18.7984588457008,-25.9444490780388,-28.3400013903112
1,19.1,-22.995603788589,-22.6419400945977,-26.8559356299151,-26.3304603777316,-18.7342890678584,-25.8794933837616,-28.2172839405926
1,19.2,-22.9799394718343,-22.5977070791772,-26.8396116286103,-26.2980994428867,-18.6715264942987,-25.815466277493,-28.0989275241841
1,19.3,-22.9642318271549,-22.5546160769139,-26.824362695493,-26.2664105360032,-18.6101339666519,-25.7523631141784,-27.9847262632919
1,19.4,-22.9484984821659,-22.5126358059258,-26.810162821546,-26.2353719939547,-18.550075615115,-25.6901782750174,-27.8744881144736
1,19.5,-22.9327557077228,-22.4717359428887,-26.7969864229396,-26.2049631514345,-18.4913168024558,-25.6289052806633,-27.7680336827065
1,19.6,-22.9170185182764,-22.4318870901126,-26.7848083577577,-26.175164291136,-18.4338240709382,-25.5685368937337,-27.6651951553716
1,19.7,-22.9013007644112,-22.3930607438128,-26.7736039388218,-26.1459565962912,-18.3775650919929,-25.5090652116357,-27.5658153425643
1,19.8,-22.8856152182157,-22.3552292635429,-26.7633489431668,-26.1173221054896,-18.322508618465,-25.4504817506098,-27.4697468117999
1,19.9,-22.8699736520797,-22.3183658427555,-26.7540196186486,-26.0892436696906,-18.2686244392856,-25.3927775218093,-27.3768511066265
1,20,-22.8543869114552,-22.2824444804564,-26.7455926880964,-26.0617049113471,-18.2158833364235,-25.3359431001545,-27.2869980399269
