"$State []","Freq [GHz]","DG []"
1,3.6,9.99999999984094
1,3.7,9.99999999974275
1,3.8,9.99999997913725
1,3.9,9.99999980160884
1,4,9.9999989921598
1,4.1,9.99999627825135
1,4.2,9.9999889503364
1,4.3,9.99997252519024
1,4.4,9.99994156800242
1,4.5,9.99989212823484
1,4.6,9.99982482843499
1,4.7,9.9997464365462
1,4.8,9.99966838433448
1,4.9,9.99960289699684
1,5,9.99955902784948
1,5.1,9.9995405631922
1,5.2,9.99954621674981
1,5.3,9.99957128155311
1,5.4,9.99960961571117
1,5.5,9.99965521221802
1,5.6,9.99970310492758
1,5.7,9.99974969288506
1,5.8,9.99979268629656
1,5.9,9.99983086766293
1,6,9.99986380254149
1,6.1,9.99989157394276
1,6.2,9.99991457055414
1,6.3,9.99993333335488
1,6.4,9.99994845311326
1,6.5,9.99996050736622
1,6.6,9.99997002570823
1,6.7,9.99997747407813
1,6.8,9.99998325095564
1,6.9,9.99998769040441
1,7,9.99999106854455
1,7.1,9.99999361128533
1,7.2,9.99999550204559
1,7.3,9.99999688880278
1,7.4,9.9999978902062
1,7.5,9.99999860072542
1,7.6,9.99999909492786
1,7.7,9.99999943102776
1,7.8,9.99999965385135
1,7.9,9.99999979734083
1,8,9.99999988668845
1,8.1,9.9999999401615
1,8.2,9.99999997065628
1,8.3,9.99999998700465
1,8.4,9.99999999505216
1,8.5,9.99999999852698
1,8.6,9.99999999971897
1,8.7,9.99999999997544
1,8.8,9.99999999998863
1,8.9,9.99999999982227
1,9,9.99999999863638
1,9.1,9.99999999402788
1,9.2,9.9999999797314
1,9.3,9.99999995401904
1,9.4,9.99999996050944
1,9.5,9.99999995605753
1,9.6,9.99999996567337
1,9.7,9.99999997397453
1,9.8,9.99999997290991
1,9.9,9.99999996132672
1,10,9.99999993516723
1,10.1,9.99999988395957
1,10.2,9.99999978413767
1,10.3,9.99999958258099
1,10.4,9.99999915999023
1,10.5,9.99999826111729
1,10.6,9.99999641857297
1,10.7,9.99999309328841
1,10.8,9.99998852969764
1,10.9,9.99998483233678
1,11,9.99998438668241
1,11.1,9.99998193237272
1,11.2,9.99998048586885
1,11.3,9.99998070559817
1,11.4,9.99998305468522
1,11.5,9.99998725705766
1,11.6,9.99999184228949
1,11.7,9.99999454673287
1,11.8,9.99999301201263
1,11.9,9.99998283628388
1,12,9.9999635136508
1,12.1,9.99994351109434
1,12.2,9.99992833782697
1,12.3,9.99992296507974
1,12.4,9.99992498979215
1,12.5,9.9999314579263
1,12.6,9.99994055159312
1,12.7,9.99995064997538
