"$State []","Freq [GHz]","dB(St(2,1)) []","dB(St(3,1)) []","dB(St(4,1)) []","dB(St(5,1)) []","dB(St(6,1)) []","dB(St(7,1)) []","dB(St(8,1)) []"
0,6.1,-18.808629872015,-24.1019343499596,-24.5547614667547,-34.0349155164605,-23.1227061310098,-19.8857605412724,-13.3429505383901
0,6.2,-18.9433646108626,-24.2112749385418,-24.7331927787178,-34.0030965668812,-23.3750830756914,-20.1098307271295,-13.4517306052387
0,6.3,-19.082908434094,-24.3214782202868,-24.9111403530056,-33.9763789449129,-23.6366244082087,-20.3405986621963,-13.558726907713
0,6.4,-19.2273592886835,-24.4321374107392,-25.0880445732897,-33.9542376181123,-23.9078620194625,-20.5780717904484,-13.6632800596264
0,6.5,-19.37683658927,-24.54280459742,-25.2633089136124,-33.9359595428175,-24.189411330386,-20.8222673224107,-13.7646634103232
0,6.6,-19.5314901191557,-24.6529853251514,-25.4362979518384,-33.9206514868035,-24.4819881822278,-21.0732195178422,-13.862075188705
0,6.7,-19.6915124462458,-24.7621340338875,-25.6063365923915,-33.9072562887526,-24.7864297484059,-21.3309891473635,-13.9546298901676
0,6.8,-19.8571558710857,-24.869651273982,-25.7727114090204,-33.8945771110468,-25.1037203396919,-21.5956756778789,-14.041348889946
0,6.9,-20.0287553250549,-24.9748840967388,-25.9346754535035,-33.8813093464506,-25.4350231443343,-21.8674328954888,-14.1211503137174
0,7,-20.206759203336,-25.0771316845877,-26.0914585199014,-33.8660800515812,-25.781719108763,-22.1464888876718,-14.1928382771272
0,7.1,-20.3917709264706,-25.1756592074667,-26.2422857998277,-33.8474952221428,-26.1454542840613,-22.4331715553019,-14.2550917422867
0,7.2,-20.5846051904951,-25.2697241457261,-26.3864092435654,-33.8241960436352,-26.5281969613523,-22.727941108329,-14.3064534669376
0,7.3,-20.7863645589536,-25.3586209947851,-26.5231579319215,-33.7949266231302,-26.9323056486579,-23.0314312956361,-14.3453198980514
0,7.4,-20.9985445230919,-25.4417524661104,-26.652016587118,-33.7586178623396,-27.3606081294768,-23.3445013833518,-14.3699334762258
0,7.5,-21.2231787814043,-25.5187381370666,-26.7727452486756,-33.7144953974139,-27.8164899881057,-23.6683010453432,-14.3783798087864
0,7.6,-21.4630418056938,-25.5895750945701,-26.8855582765944,-33.6622243965041,-28.3039871732318,-24.0043502589059,-14.3685937423227
0,7.7,-21.7219335253633,-25.6548695479828,-26.9913870622951,-33.6021111879894,-28.8278697221199,-24.3546359875355,-14.338380800971
0,7.8,-22.0050821784388,-25.7161636013812,-27.0922571076683,-33.5353921344759,-29.3936895758885,-24.7217274483531,-14.2854640942528
0,7.9,-22.319717231356,-25.7763868877356,-27.1918135488675,-33.464654793421,-30.007738626596,-25.1089152523945,-14.2075719240622
0,8,-22.6758858095954,-25.8404669254863,-27.2960232879952,-33.3944551033726,-30.6768124824719,-25.5204002099704,-14.1025878368196
0,8.1,-23.0876133789009,-25.9161304262266,-27.4140550884881,-33.3322129189865,-31.4075788992209,-25.9616506448421,-13.9687915005616
0,8.2,-23.5745399129304,-26.0149100482716,-27.5592762872664,-33.2894706817243,-32.2051647656773,-26.4404411769516,-13.8052215007717
0,8.3,-24.164189397949,-26.1533163170181,-27.7502007142865,-33.2835419157651,-33.0702259148036,-26.9706538908969,-13.6121806089618
0,8.4,-24.8950441632032,-26.3540068071021,-28.0111160101607,-33.3393585763062,-33.9931543767875,-27.5848748372279,-13.3918632861788
0,8.5,-25.8206093572681,-26.6465381237553,-28.3721364584734,-33.4907865506703,-34.9433001738908,-28.3401739046762,-13.14899216199
0,8.6,-27.0147927739822,-27.0668936391825,-28.8687264342654,-33.7797117134662,-35.8514391290769,-29.1808080426539,-12.8911972005769
0,8.7,-28.5796491634403,-27.6544864768994,-29.5411397208064,-34.2502181068698,-36.5905411520395,-29.9769979480393,-12.6287124737544
0,8.8,-30.6588755999401,-28.4448360664154,-30.4337239812374,-34.9357702741521,-36.982132949787,-30.7792048375092,-12.3729719802944
0,8.9,-33.4643943267162,-29.4553985818283,-31.5918997615022,-35.8414522272641,-36.8733544988766,-31.618155040843,-12.1340956441717
0,9,-37.3003838814041,-30.6601537428317,-33.0543218548541,-36.9294498069518,-36.2562171855833,-32.4683258370534,-11.918078871829
0,9.1,-42.044653780483,-31.9468381670345,-34.8460444391552,-38.1173746976172,-35.2863813452988,-33.2763799363836,-11.7251674646569
0,9.2,-43.2238986730425,-33.069308756632,-36.9890450155394,-39.292751836798,-34.1748110138981,-33.9726320313326,-11.550574170118
0,9.3,-40.1227667711956,-33.6917273221336,-39.5394261472537,-40.3394655220165,-33.0907317249107,-34.4897781184761,-11.3873332564015
0,9.4,-37.7106497416355,-33.6393075099526,-42.6412189346173,-41.1667874257733,-32.1353019900397,-34.8033333197549,-11.2298197001306
0,9.5,-36.3006558812888,-33.0802394540599,-46.5267397756757,-41.7273024846152,-31.3519443584219,-34.9757134416933,-11.0763080559791
0,9.6,-35.5624389230482,-32.323151673991,-50.5444478439051,-42.0140440880447,-30.7449908825698,-35.1289823283617,-10.9297428562222
0,9.7,-35.2195203229222,-31.5841505995389,-49.8229145952972,-42.0429738549557,-30.2977992015518,-35.3200650806355,-10.7968451932247
0,9.8,-34.9960056752275,-30.959091834835,-46.0970114562736,-41.8371380281216,-29.9868705468842,-35.483985476251,-10.6863539224125
0,9.9,-34.6085007101358,-30.4728217241941,-43.1230905175104,-41.4224677116855,-29.7902840534681,-35.5251542748175,-10.6074874470057
0,10,-33.8997388995708,-30.1169621455928,-41.0251645232631,-40.8340490674587,-29.6909284037715,-35.3968183893017,-10.5693866700656
0,10.1,-32.9896352177634,-29.8686669741612,-39.5912367305222,-40.1263417427193,-29.6762639810315,-35.1021690038404,-10.5813105063887
0,10.2,-32.0614269388006,-29.6991979516915,-38.6655345421649,-39.3794061785285,-29.7363603763072,-34.6731497845078,-10.6524772817942
0,10.3,-30.9877796961582,-29.5796881663238,-38.1194626727885,-38.6916320581899,-29.8614565335232,-34.1621997271762,-10.7907042875608
0,10.4,-29.8203194351625,-29.4942124135931,-37.8308975761366,-38.1523087776463,-30.0398009641698,-33.6479290655031,-11.0002266877587
0,10.5,-28.6391626099124,-29.4753305440004,-37.6770603709308,-37.8065058479579,-30.2561214915767,-33.2421124077876,-11.2799764952598
0,10.6,-27.4653055018762,-29.5992431668545,-37.5179913546047,-37.6486154241524,-30.4906657208691,-33.0747048376696,-11.6233460756966
0,10.7,-26.3228892593448,-29.8160001484044,-37.1573349265683,-37.6670121013657,-30.7182866617705,-33.2379813787484,-12.0194763351288
0,10.8,-25.2569922773358,-29.9955864954512,-36.3215354673125,-37.9148149472891,-30.9064233304374,-33.7231190041296,-12.4553250236537
0,10.9,-24.3250485531108,-30.107923472941,-34.9048582328185,-38.5413599184507,-31.009637541602,-34.4229774755656,-12.9176453047046
0,11,-23.5769055052704,-30.1705284716087,-33.6147671440895,-39.6958129904972,-30.9555830671818,-35.2000402006396,-13.3943535640192
0,11.1,-22.9742496968433,-29.8889178384976,-32.6119771944388,-41.207537181471,-31.2102488671575,-35.5321935447094,-13.9006757645856
0,11.2,-22.3727966109894,-29.5893923223067,-31.9104263226447,-42.1149893841331,-31.3422657286016,-35.0939200566959,-14.4625281482035
0,11.3,-21.7039198959526,-29.2792378878489,-31.5141531135716,-42.2947279994185,-31.3897578232801,-34.402727275185,-15.0855286056875
0,11.4,-20.9446888680194,-28.9724657358343,-31.3035700407804,-41.8899299674728,-31.3552492679177,-33.729144582004,-15.7851251521356
0,11.5,-20.10510521492,-28.6701728842275,-31.1312333538233,-41.1230715991565,-31.2003434730774,-33.2291787597527,-16.574587494315
0,11.6,-19.2227415274625,-28.2607340974578,-30.8961079428449,-40.1587615036855,-30.853828725785,-32.9947653643034,-17.4349238311243
0,11.7,-18.3650303631161,-27.5903883925417,-30.5626214301159,-39.1544365577548,-30.2969815117864,-33.0715638807104,-18.2787335538412
0,11.8,-17.6318926347099,-26.8094164878005,-30.1650379424544,-38.3792816476803,-29.7731980299825,-33.4793822257867,-18.9553540924297
0,11.9,-17.1434988662311,-26.0591372857568,-29.8296970480122,-38.2412511051646,-29.5505272422217,-34.2383303399353,-19.332108874207
0,12,-16.9987547743787,-25.4023726881875,-29.8063141604192,-39.0805551713473,-29.5407793522666,-35.3227603332464,-19.4047806862807
0,12.1,-17.2190721918892,-24.9543961526238,-30.419402033992,-40.9451296770611,-29.8666487950884,-36.1202989422015,-19.3537199365664
0,12.2,-17.7196591842417,-24.8490693601889,-31.858333281623,-43.3088745224842,-30.8090324012689,-34.8131087457857,-19.4592511839702
0,12.3,-18.3243102643781,-25.1321638731912,-34.0454722920656,-43.7925524685544,-32.3611017918964,-32.5384416288532,-19.8602882040907
0,12.4,-18.8704333719037,-25.7437139244151,-36.7455476295676,-41.9938956295018,-34.263851495181,-31.424677699858,-20.4563095341722
0,12.5,-19.384266160537,-26.5883178679444,-39.4751961793556,-40.4574638761214,-36.2950786503701,-31.1439134117819,-21.0826922174834
0,12.6,-19.9558054564713,-27.5838329068971,-42.0871791751738,-39.553251378602,-38.3627814767743,-31.1523498926289,-21.6433606840217
0,12.7,-20.5774830662685,-28.670219941985,-45.1692141778517,-38.9958086918652,-40.4651408335495,-31.2241622899733,-22.1148430176683
0,12.8,-21.2102042618187,-29.8059393133012,-49.0157711973388,-38.597788112525,-42.6506281128951,-31.2826087453929,-22.5180144116582
0,12.9,-21.8298784876038,-30.9636374380433,-52.9677711209476,-38.2743785425312,-45.0058796304867,-31.299515140021,-22.873842819348
0,13,-22.4270408989219,-32.126394528702,-52.8867310549258,-37.990406481922,-47.6688612217122,-31.2589002773397,-23.1846851037653
0,13.1,-22.9999388731946,-33.2844530045297,-49.6300455966379,-37.7315608426024,-50.8740731434321,-31.1508861552383,-23.4504804579417
0,13.2,-23.5502952786848,-34.4324943224073,-46.7653954439227,-37.4918208809484,-55.0399094070573,-30.9908574020773,-23.674483330384
0,13.3,-24.081248808268,-35.567454019769,-44.5713067390424,-37.2682942985452,-60.3220475259106,-30.8232949177399,-23.8610344909528
0,13.4,-24.5964059752296,-36.6867318464578,-42.8442623608028,-37.0591814941778,-60.5048671451743,-30.6724901635505,-24.0141116171536
0,13.5,-25.0994165458067,-37.7865953728436,-41.4335421713872,-36.8630224172902,-55.8887133787248,-30.5295175661861,-24.1370274601814
0,13.6,-25.5937946191699,-38.8605924616852,-40.2458720492249,-36.6784550171637,-52.4458809879507,-30.3814627506612,-24.2325217542639
0,13.7,-26.082856658273,-39.8978783997676,-39.2226055760761,-36.5041661932901,-49.9824603066066,-30.2226473614254,-24.302920444693
0,13.8,-26.5697160004537,-40.8815671472459,-38.3252971617491,-36.338905497543,-48.1026022226316,-30.0522858971056,-24.3502711254821
0,13.9,-27.0573049599395,-41.7875969845435,-37.5276378049569,-36.1815111304753,-46.5929527087578,-29.8715488044187,-24.3764396636776
0,14,-27.5484106878096,-42.5851398160576,-36.8108993315981,-36.0309306887217,-45.3349720319103,-29.6821450852682,-24.3831728698412
0,14.1,-28.0457183874236,-43.239938753928,-36.1612736370794,-35.8862323830006,-44.257726580611,-29.485785013396,-24.3721355290323
0,14.2,-28.5518593158584,-43.721299534272,-35.5682626831949,-35.7466073953544,-43.3159515474273,-29.2840075190591,-24.3449293509416
0,14.3,-29.0694631155795,-44.0111231751291,-35.0236713767756,-35.6113655357791,-42.4792297326465,-29.078143163415,-24.3030998637848
0,14.4,-29.6012153399347,-44.1105990847351,-34.5209578693562,-35.479926479099,-41.7262524532249,-28.8693238318704,-24.2481358278784
0,14.5,-30.149922052151,-44.0403056934373,-34.0548020576172,-35.3518085035014,-41.0415746590683,-28.6585061546518,-24.1814645404189
0,14.6,-30.7185843916227,-43.8336521010033,-33.6208108262773,-35.2266161825974,-40.4136789515642,-28.4464967985446,-24.1044454328108
0,14.7,-31.3104872510635,-43.5278477378223,-33.2153110742295,-35.1040280467372,-39.833767449531,-28.2339756724086,-24.0183635902153
0,14.8,-31.9293079494614,-43.1568222177442,-32.8352004128488,-34.9837848725999,-39.2949788271688,-28.0215160120333,-23.9244242191798
