"$State []","Freq [GHz]","ECC []"
0,16.8,2.25340590505617E-05
0,16.9,1.9357090329059E-05
0,17,1.65177029142261E-05
0,17.1,1.40065571918487E-05
0,17.2,1.18151095456208E-05
0,17.3,9.9355214742908E-06
0,17.4,8.36057838463675E-06
0,17.5,7.08361696357242E-06
0,17.6,6.0984601770566E-06
0,17.7,5.39935906578542E-06
0,17.8,4.98094061166996E-06
0,17.9,4.8381610379416E-06
0,18,4.96626398188232E-06
0,18.1,5.36074304470571E-06
0,18.2,6.01730827969269E-06
0,18.3,6.93185622870918E-06
0,18.4,8.10044315983805E-06
0,18.5,9.51926119602085E-06
0,18.6,1.11846170570983E-05
0,18.7,1.30929131661582E-05
0,18.8,1.52406308961823E-05
0,18.9,1.76243157551276E-05
0,19,2.02405643271642E-05
0,19.1,2.30860128051798E-05
0,19.2,2.61573269651249E-05
0,19.3,2.94511934465743E-05
0,19.4,3.29643122162238E-05
0,19.5,3.66933901021092E-05
0,19.6,4.06351352962823E-05
0,19.7,4.47862527326559E-05
0,19.8,4.9143440254812E-05
0,19.9,5.37033854959284E-05
0,20,5.84627633995994E-05
1,2,-1.38827387982435
1,2.1,-0.799397320711497
1,2.2,-0.120251783047506
1,2.3,-21.5045462527352
1,2.4,-2.28297923692284
1,2.5,-1.86494839815619
1,2.6,-1.61224576519788
1,2.7,-1.52680455589255
1,2.8,-1.72068902978986
1,2.9,-2.8012997807273
1,3,293.04986316911
1,3.1,2.3442058941749
1,3.2,1.30721641913186
1,3.3,1.22736848532477
1,3.4,3.20016415959137
1,3.5,-0.958335656051867
1,3.6,-0.282715164611343
1,3.7,-0.136497023138042
1,3.8,-0.0813087748636504
1,3.9,-0.0556336391796452
1,4,-0.042456328442163
1,4.1,-0.0355510783587413
1,4.2,-0.0323158260267405
1,4.3,-0.0317017321080116
1,4.4,-0.0335847287975421
1,4.5,-0.0389871143230939
1,4.6,-0.0519888506368752
1,4.7,-0.09447010968877
1,4.8,3.2809179932495
1,4.9,0.0739854417465046
1,5,0.0342417180000463
1,5.1,0.0210119581440853
1,5.2,0.0145008327891434
1,5.3,0.0106787870985226
1,5.4,0.00819630871751835
1,5.5,0.00647494432186832
1,5.6,0.00522603645688101
1,5.7,0.00428968498794577
1,5.8,0.00357024961082157
1,5.9,0.0030070466327782
1,6,0.00255972284126084
1,6.1,0.00220040093652263
1,6.2,0.00190920625385148
1,6.3,0.00167159311410904
1,6.4,0.00147668080626561
1,6.5,0.00131618164473816
1,6.6,0.00118558703661097
1,6.7,0.00107770465947084
1,6.8,0.000988794878022149
1,6.9,0.000915979692886607
1,7,0.000857044639891017
1,7.1,0.000810299520189517
1,7.2,0.000774478302539412
1,7.3,0.000748664019196483
1,7.4,0.000732226886943237
1,7.5,0.00072476386088493
1,7.6,0.000726025656135939
1,7.7,0.00073581348786158
1,7.8,0.00075382434218708
1,7.9,0.000779425898736524
1,8,0.000811360547773754
1,8.1,0.000847420586092498
1,8.2,0.000884178080523192
1,8.3,0.00091678373672488
1,8.4,0.000938554045025832
1,8.5,0.000939863815533499
1,8.6,0.000906777918903193
1,8.7,0.000822176959016826
1,8.8,0.000673263729122092
1,8.9,0.000465680360047312
1,9,0.000237433960846511
1,9.1,5.92337383638767E-05
1,9.2,5.64866122488198E-07
1,9.3,6.12982904571762E-05
1,9.4,0.000142810622922778
1,9.5,0.0001491109268464
1,9.6,9.78350521299055E-05
1,9.7,5.06615785454149E-05
1,9.8,2.84813095672091E-05
1,9.9,2.69478354611326E-05
1,10,4.66411520405844E-05
1,10.1,0.000101554936670892
1,10.2,0.00021629580585429
1,10.3,0.000422494116153544
1,10.4,0.000753151980027902
1,10.5,0.00122809490680453
1,10.6,0.00182470849111083
1,10.7,0.002454637776281
1,10.8,0.00299354688390598
1,10.9,0.00333191530450316
1,11,0.0034120708689659
1,11.1,0.00326433345224232
1,11.2,0.00294674780229557
1,11.3,0.00248761884382171
1,11.4,0.00193246588133159
1,11.5,0.00133757778344117
1,11.6,0.00078387872229551
1,11.7,0.000398022701139354
1,11.8,0.000348241534567531
1,11.9,0.000763958737047885
1,12,0.00158454945386866
1,12.1,0.00250375200313987
1,12.2,0.00316586020636887
1,12.3,0.00342229798463498
1,12.4,0.00335772489665843
1,12.5,0.00314077386576056
1,12.6,0.00290511942882619
1,12.7,0.0027204643441198
1,12.8,0.00260871308146376
1,12.9,0.00256487047481493
1,13,0.00256999834678433
1,13.1,0.00259763277517102
1,13.2,0.00261797590407385
1,13.3,0.00260278028446988
1,13.4,0.00253123821034543
1,13.5,0.00239491767071481
1,13.6,0.00219924413297395
1,13.7,0.00196062588533568
1,13.8,0.0017007074219992
1,13.9,0.00144045584245352
1,14,0.00119618125695703
1,14.1,0.000978085619082751
1,14.2,0.000790744437682627
1,14.3,0.000634535147627819
1,14.4,0.00050721618121422
1,14.5,0.000405231197046294
1,14.6,0.000324612917533658
1,14.7,0.000261524668419283
1,14.8,0.000212534840112889
1,14.9,0.000174719222920214
1,15,0.000145664567987652
1,15.1,0.000123422670546489
1,15.2,0.000106444929346915
1,15.3,9.35139626460787E-05
1,15.4,8.3680464401841E-05
1,15.5,7.620860185336E-05
1,15.6,7.0530626621957E-05
