"$State []","Freq [GHz]","dB(St(1,1)) []","dB(St(2,2)) []","dB(St(3,3)) []","dB(St(4,4)) []","dB(St(5,5)) []","dB(St(6,6)) []","dB(St(7,7)) []","dB(St(8,8)) []"
1,14.6,-16.2957353209913,-14.2853037449837,-14.329916653218,-10.9440851639284,-12.7060035831478,-13.4223183522001,-14.4099498541896,-14.2784889771628
1,14.7,-16.3553746854659,-14.3583910544664,-14.4683721697374,-10.9154719559441,-12.7889956929809,-13.4710582374247,-14.533281878659,-14.3755488613022
1,14.8,-16.4112186176277,-14.4258606933774,-14.5959856520269,-10.8854913899561,-12.8670073617331,-13.5133165839268,-14.6518394908653,-14.4669451748566
1,14.9,-16.4630643221284,-14.4880338014204,-14.7129073584079,-10.8541603197085,-12.9402486020878,-13.5493495499062,-14.7655927539864,-14.5528414699518
1,15,-16.5107576108542,-14.5451979354002,-14.8193190400078,-10.8215060600587,-13.008911889114,-13.5794135037178,-14.8745079168651,-14.6333792176711
1,15.1,-16.5541846408791,-14.5976117102627,-14.9154320255961,-10.7875638785165,-13.0731746343155,-13.6037630303181,-14.9785510295187,-14.7086835467307
1,15.2,-16.5932656043411,-14.6455087844935,-15.0014853566297,-10.7523750390299,-13.1332012393008,-13.6226494778496,-15.0776906104602,-14.7788677264488
1,15.3,-16.6279498401314,-14.6891012852938,-15.0777438233683,-10.7159852684789,-13.1891448175351,-13.6363199026793,-15.1718996234184,-14.8440366845734
1,15.4,-16.658211981643,-14.7285827543449,-15.1444958201125,-10.6784435474706,-13.2411486500489,-13.6450163071604,-15.2611569455077,-14.9042897733107
1,15.5,-16.684048859228,-14.7641306825684,-15.202050987881,-10.639801150889,-13.2893474248546,-13.6489750919316,-15.3454484552608,-14.9597229420419
1,15.6,-16.7054769519592,-14.7959086918228,-15.25073764977,-10.6001108817705,-13.3338682981857,-13.6484266654139,-15.4247678308934,-15.0104304359123
1,15.7,-16.7225302388582,-14.824068412693,-15.2909000703213,-10.5594264557816,-13.3748318071777,-13.643595168778,-15.4991171222652,-15.0565061110943
1,15.8,-16.7352583406752,-14.8487511001653,-15.3228955873536,-10.5178020038906,-13.4123526573334,-13.6346982862563,-15.5685071410903,-15.0980444368906
1,15.9,-16.7437248735747,-14.8700890228144,-15.3470916744199,-10.4752916685854,-13.4465404034292,-13.6219471192038,-15.6329577007861,-15.1351412397251
1,16,-16.7480059585827,-14.8882066559677,-15.3638629957012,-10.4319492748148,-13.4775000389807,-13.605546108542,-15.6924977283273,-15.1678942329263
1,16.1,-16.7481888473854,-14.9032217049774,-15.3735885139873,-10.3878280612082,-13.5053325066801,-13.5856929947157,-15.7471652644241,-15.1964033679231
1,16.2,-16.7443706375171,-14.915245981091,-15.3766487076003,-10.3429804604127,-13.5301351401308,-13.5625788075038,-15.7970073644251,-15.2207710362614
1,16.3,-16.7366570591741,-14.924386149345,-15.3734229447721,-10.2974579198618,-13.5520020455714,-13.5363878802855,-15.8420799099368,-15.2411021471378
1,16.4,-16.7251613226273,-14.9307443653106,-15.3642870550628,-10.2513107561557,-13.5710244309923,-13.5072978849334,-15.8824473397856,-15.2575041015138
1,16.5,-16.7100030200482,-14.9344188153215,-15.3496111277525,-10.2045880376378,-13.5872908890156,-13.4754798845657,-15.9181823082896,-15.2700866810262
1,16.6,-16.6913070789517,-14.9355041729388,-15.3297575574496,-10.1573374908283,-13.6008876390734,-13.4410984020967,-15.949365278597,-15.2789618676175
1,16.7,-16.6692027667212,-14.9340919828058,-15.3050793479732,-10.1096054271864,-13.611898733734,-13.4043115029762,-15.9760840588952,-15.2842436079201
1,16.8,-16.6438227470878,-14.9302709816624,-15.2759186772863,-10.0614366873018,-13.6204062334579,-13.3652708907836,-15.9984332894621,-15.2860475348222
1,16.9,-16.6153021901845,-14.9241273651029,-15.2426057191167,-10.0128746001004,-13.6264903535849,-13.3241220145074,-16.0165138887161,-15.2844906572407
1,17,-16.5837779380615,-14.91574500762,-15.2054577110441,-9.9639609550279,-13.6302295869472,-13.281004186422,-16.0304324665504,-15.2796910278664
1,17.1,-16.5493877274565,-14.9052056425806,-15.1647782542737,-9.91473598547403,-13.6317008051502,-13.2360507095193,-16.0403007132754,-15.2717673975034
1,17.2,-16.5122694712786,-14.8925890079807,-15.1208568270086,-9.86523836193875,-13.6309793412556,-13.1893890134661,-16.0462347723954,-15.2608388635509
1,17.3,-16.4725605997726,-14.8779729631355,-15.0739684911715,-9.81550519363786,-13.6281390563291,-13.1411407980664,-16.0483546052254,-15.2470245191838
1,17.4,-16.4303974617418,-14.8614335808374,-15.0243737710656,-9.76557203740386,-13.6232523920729,-13.0914221832127,-16.0467833549882,-15.2304431088467
1,17.5,-16.3859147855954,-14.8430452189696,-14.9723186822501,-9.71547291287254,-13.6163904115437,-13.04034386432,-16.0416467175525,-15.2112126947989
1,17.6,-16.3392451993679,-14.8228805750745,-14.9180348892722,-9.66524032305956,-13.6076228297595,-12.9880112722545,-16.0330723253794,-15.1894503386197
1,17.7,-16.2905188082864,-14.801010726938,-14.8617399717884,-9.61490527952902,-13.5970180358148,-12.934524736795,-16.0211891505725,-15.1652718008234
