"$State []","Freq [GHz]","dB(St(1,1)) []","dB(St(2,2)) []","dB(St(3,3)) []","dB(St(4,4)) []","dB(St(5,5)) []","dB(St(6,6)) []","dB(St(7,7)) []","dB(St(8,8)) []"
0,11.1,-9.35121144230438,-7.88114043069931,-7.46759064028773,-7.45722747437752,-6.34508302735625,-9.03114700994586,-6.39907877532037,-6.52200307850218
0,11.2,-9.60518598714461,-8.12379224772985,-7.70700473182208,-7.60901538333227,-6.37494258576221,-9.04605148919897,-6.39338163462666,-6.58571310776671
0,11.3,-9.95294037918837,-8.3982562653297,-7.98257399152353,-7.82428355673431,-6.40834686370799,-9.09353317847048,-6.44873810680741,-6.67498764210907
0,11.4,-10.392081499923,-8.68033433098417,-8.27836962860653,-8.0794820883792,-6.42877795573617,-9.13257794679193,-6.5587502399579,-6.77520671539553
0,11.5,-10.8897670901353,-8.93346949175662,-8.5633745344967,-8.35020512200852,-6.41804452768256,-9.11038763885473,-6.70675758552765,-6.86564751344798
0,11.6,-11.3622664430099,-9.11591630065219,-8.79050240594374,-8.58538934541507,-6.35728948667581,-8.9689117396047,-6.86012285726605,-6.91903162554043
0,11.7,-11.7046794183063,-9.2063071503893,-8.92306487901088,-8.73136600740054,-6.23425923309624,-8.67685855470575,-6.97015215243862,-6.90909786295197
0,11.8,-11.8679106966362,-9.23894321368733,-8.99348926608741,-8.84285627199117,-6.05965306651892,-8.27477824697466,-7.00269936323547,-6.83772027554709
0,11.9,-11.8874991572966,-9.30660714260555,-9.11281974317815,-9.00498763383882,-5.88285719603291,-7.87473737054514,-7.00405539948434,-6.77006071207969
0,12,-11.8328525171704,-9.50155628117319,-9.36861663232348,-9.24796119937503,-5.78166589587933,-7.58506885309054,-7.09130206925391,-6.80704631378059
0,12.1,-11.7622889243249,-9.81001087919067,-9.74195507259219,-9.57288817442652,-5.81896940926515,-7.43659094872221,-7.32737604455925,-6.98741634999323
0,12.2,-11.7335306321684,-10.1049304984896,-10.1403968376134,-9.92675230035842,-5.9958644836649,-7.39128183000073,-7.66457133744994,-7.26675892889244
0,12.3,-11.8334953212092,-10.3578169644028,-10.4826988645229,-10.2216602122343,-6.2334106616797,-7.42420497604198,-7.98507020302274,-7.62504909951207
0,12.4,-12.0767860359535,-10.5773979260769,-10.7584889887774,-10.4498801535799,-6.4478877604409,-7.5485907222447,-8.23198794275235,-7.95372292554109
0,12.5,-12.3271170826695,-10.7527362240519,-11.0142453469584,-10.6606602398529,-6.63894923626858,-7.74655798172193,-8.46418368072864,-8.25628467287958
0,12.6,-12.5213267217669,-10.8975302245677,-11.2951339932643,-10.8860988233472,-6.83495287562284,-7.98017728926558,-8.7194530531939,-8.53526112296093
0,12.7,-12.682231366717,-11.0428676430765,-11.6158353102218,-11.1364840977636,-7.04528262513567,-8.22462469900436,-8.99271937229168,-8.7882067900912
0,12.8,-12.8324297368018,-11.2133858607675,-11.9686563308074,-11.413268847287,-7.26735494301798,-8.46829698681399,-9.2722289043882,-9.01523585045042
0,12.9,-12.981354992779,-11.4187168916934,-12.3387833759291,-11.7155639119415,-7.49640094570028,-8.70628790492689,-9.55035230458917,-9.21764974910506
0,13,-13.1315192596016,-11.6575101362416,-12.7126480822547,-12.0421904679406,-7.72847998154789,-8.93666702925301,-9.8232031329633,-9.397339028674
0,13.1,-13.2826915026823,-11.9236608821773,-13.080361710073,-12.3921787149919,-7.96079396694879,-9.15882680277223,-10.0891013565385,-9.55653666375905
